student_id,age,program,semester,gpa,attendance,assignment_completion,engagement_score,stress_level,career_clarity,sleep_hours,mental_wellbeing,productivity_score,distractions,skill_readiness,APS,WWS,PTMS,CRS,SRI,risk_category
S001,20,B.Tech,7,8.5,44.2,93.3,35.9,6,5,5.6,4,7,2,4,79.33,44.8,74.0,45.0,61.05,Yellow
S002,20,B.Tech,2,8.7,35.5,90.8,34.2,5,7,6.0,6,7,3,3,77.84,56.0,70.0,50.0,63.85,Yellow
S003,19,MBA,4,8.4,31.8,83.2,43.8,5,5,6.0,4,7,2,4,73.32,50.0,74.0,45.0,60.55,Yellow
S004,18,BCA,3,8.5,25.4,82.0,43.4,6,5,5.6,5,6,5,3,72.18,47.8,56.0,40.0,54.8,Yellow
S005,19,BCA,2,9.4,41.3,93.3,35.1,6,6,5.6,5,7,4,3,83.25,47.8,66.0,45.0,61.38,Yellow
S006,24,BCA,3,8.4,29.8,87.9,43.6,6,6,5.6,3,6,4,3,74.33,41.8,60.0,45.0,56.0,Yellow
S007,18,BCA,3,9.3,36.7,80.2,36.6,4,7,6.4,5,5,6,2,77.9,58.2,46.0,45.0,58.37,Yellow
S008,21,MBA,2,8.5,36.1,92.8,40.7,6,7,5.6,4,7,3,3,77.56,44.8,70.0,50.0,60.97,Yellow
S009,20,MBA,3,8.3,42.9,92.0,39.5,5,5,6.0,4,6,4,4,77.68,50.0,60.0,45.0,59.05,Yellow
S010,18,BCA,3,8.7,26.7,83.3,44.6,6,6,5.6,3,6,5,3,73.83,41.8,56.0,45.0,55.05,Yellow
S011,19,B.Sc,5,8.4,37.6,76.4,35.5,4,7,6.4,6,5,6,2,72.44,61.2,46.0,45.0,57.48,Yellow
S012,21,MBA,4,9.2,31.1,80.8,36.0,5,6,6.0,6,6,5,2,76.46,56.0,56.0,40.0,58.14,Yellow
S013,22,MBA,2,8.5,37.3,79.0,30.7,6,5,5.6,4,6,3,2,73.66,44.8,64.0,35.0,54.85,Yellow
S014,24,B.Tech,4,8.7,34.2,87.1,42.6,4,5,6.4,6,6,3,3,76.47,61.2,64.0,40.0,61.04,Yellow
S015,19,B.Sc,3,9.3,34.3,85.8,30.8,5,6,6.0,4,7,4,2,79.1,50.0,66.0,40.0,59.43,Yellow
S016,19,BCA,3,8.8,37.8,79.1,42.4,6,7,5.6,3,6,5,3,75.29,41.8,56.0,50.0,56.74,Yellow
S017,24,MBA,4,9.1,34.0,75.3,31.8,5,7,6.0,5,5,6,2,74.89,53.0,46.0,45.0,56.17,Yellow
S018,21,MBA,3,8.3,28.1,75.6,39.6,4,7,6.4,7,5,5,3,69.8,64.2,50.0,50.0,59.49,Yellow
